guideline_match_Financial_Social and relationship,guideline_match_Human_Natural,guideline_match_Intellectual_Manufactured,guideline_match_Manufactured_Intellectual,guideline_match_Natural_Human,guideline_match_Social and relationship_Financial,guideline_match,classification_metrics_source_stats_sentences_per_sample,classification_metrics_source_stats_tokens_per_sentence,classification_metrics_source_stats_tokens_per_sample,classification_metrics_source_stats_fkgl_readability,classification_metrics_prediction_stats_sentences_per_sample,classification_metrics_prediction_stats_tokens_per_sentence,classification_metrics_prediction_stats_tokens_per_sample,classification_metrics_prediction_stats_fkgl_readability,classification_metrics_reference_stats_sentences_per_sample,classification_metrics_reference_stats_tokens_per_sentence,classification_metrics_reference_stats_tokens_per_sample,classification_metrics_reference_stats_fkgl_readability,classification_metrics_length_diff_sentences_diff,classification_metrics_length_diff_tokens_diff,classification_metrics_exact_match,classification_metrics_partial_match
0.0,,,,,,0.0,1,31.0,31,12.7,1,1.0,1,20.2,1,1.0,1,32.0,0,0,False,False
,,,,,0.0,0.0,1,28.0,28,12.6,1,3.0,3,12.7,1,1.0,1,43.8,0,2,False,False
1.0,,,,,,1.0,1,34.0,34,16.6,1,3.0,3,12.7,1,1.0,1,20.2,0,2,False,False
0.0,,,,,,0.0,1,25.0,25,8.8,1,1.0,1,20.2,1,1.0,1,20.2,0,0,True,True
,,0.0,,,,0.0,1,59.0,59,28.7,1,1.0,1,43.8,1,1.0,1,43.8,0,0,True,True
,0.0,,,,,0.0,1,26.0,26,13.8,1,1.0,1,8.4,1,1.0,1,8.4,0,0,True,True
0.0,,,,,,0.0,1,35.0,35,8.4,1,1.0,1,20.2,1,1.0,1,8.4,0,0,False,False
,,,0.0,,,0.0,1,27.0,27,15.4,1,1.0,1,32.0,1,1.0,1,32.0,0,0,True,True
,,,-1.0,,,-1.0,1,14.0,14,8.4,1,1.0,1,20.2,1,1.0,1,32.0,0,0,False,False
0.0,,,,,,0.0,1,20.0,20,10.3,1,1.0,1,20.2,1,1.0,1,32.0,0,0,False,False
-1.0,,,,,,-1.0,1,37.0,37,20.5,1,3.0,3,12.7,1,1.0,1,20.2,0,2,False,False
,,,0.0,,,0.0,1,54.0,54,21.2,1,1.0,1,32.0,1,1.0,1,32.0,0,0,True,True
0.0,,,,,,0.0,1,30.0,30,11.8,1,1.0,1,20.2,1,1.0,1,20.2,0,0,False,False
1.0,,,,,,1.0,1,9.0,9,10.7,1,3.0,3,12.7,1,1.0,1,32.0,0,2,False,False
,0.0,,,,,0.0,1,63.0,63,28.3,1,1.0,1,8.4,1,1.0,1,8.4,0,0,True,True
0.0,,,,,,0.0,1,25.0,25,7.2,1,1.0,1,20.2,1,1.0,1,20.2,0,0,True,True
,0.0,,,,,0.0,1,46.0,46,20.5,1,1.0,1,8.4,1,1.0,1,8.4,0,0,True,True
0.0,,,,,,0.0,1,44.0,44,17.7,1,1.0,1,20.2,1,1.0,1,20.2,0,0,True,True
1.0,,,,,,1.0,1,27.0,27,15.0,1,3.0,3,12.7,1,3.0,3,12.7,0,0,True,True
-1.0,,,,,,-1.0,1,13.0,13,2.9,1,1.0,1,20.2,1,1.0,1,20.2,0,0,True,True
,,0.0,,,,0.0,1,10.0,10,6.8,1,1.0,1,43.8,1,1.0,1,43.8,0,0,True,True
,,,,0.0,,0.0,1,16.0,16,4.0,1,1.0,1,20.2,1,1.0,1,20.2,0,0,True,True
1.0,,,,,,1.0,1,15.0,15,6.4,1,3.0,3,12.7,1,3.0,3,12.7,0,0,True,True
0.0,,,,,,0.0,1,17.0,17,6.4,1,1.0,1,20.2,1,1.0,1,20.2,0,0,True,True
,,,,,0.0,0.0,1,13.0,13,13.9,1,3.0,3,12.7,1,1.0,1,8.4,0,2,False,False
0.0,,,,,,0.0,1,11.0,11,9.9,1,1.0,1,20.2,1,1.0,1,43.8,0,0,False,False
,,,-1.0,,,-1.0,1,20.0,20,13.1,1,1.0,1,20.2,1,3.0,3,12.7,0,2,False,False
0.0,,,,,,0.0,1,53.0,53,26.3,1,1.0,1,20.2,1,3.0,3,12.7,0,2,False,False
1.0,,,,,,1.0,1,10.0,10,10.0,1,3.0,3,12.7,1,1.0,1,43.8,0,2,False,False
1.0,,,,,,1.0,1,26.0,26,13.8,1,3.0,3,12.7,1,3.0,3,12.7,0,0,True,True
1.0,,,,,,1.0,1,45.0,45,21.2,1,3.0,3,12.7,1,3.0,3,12.7,0,0,True,True
0.0,,,,,,0.0,1,33.0,33,17.8,1,1.0,1,20.2,1,1.0,1,20.2,0,0,True,True
,-1.0,,,,,-1.0,1,22.0,22,17.8,1,3.0,3,12.7,1,1.0,1,8.4,0,2,False,False
,,,,0.0,,0.0,1,35.0,35,14.6,1,1.0,1,20.2,1,1.0,1,20.2,0,0,True,True
,,-1.0,,,,-1.0,1,45.0,45,20.8,1,3.0,3,12.7,1,1.0,1,32.0,0,2,False,False
,,,0.0,,,0.0,1,30.0,30,18.5,1,1.0,1,32.0,1,1.0,1,32.0,0,0,True,True
,,0.0,,,,0.0,1,46.0,46,24.0,1,1.0,1,43.8,1,1.0,1,43.8,0,0,True,True
1.0,,,,,,1.0,1,14.0,14,11.5,1,3.0,3,12.7,1,1.0,1,43.8,0,2,False,False
1.0,,,,,,1.0,1,12.0,12,6.4,1,3.0,3,12.7,1,3.0,3,12.7,0,0,True,True
0.0,,,,,,0.0,1,33.0,33,17.7,1,1.0,1,20.2,1,1.0,1,8.4,0,0,False,False
1.0,,,,,,1.0,1,23.0,23,10.3,1,3.0,3,12.7,1,3.0,3,12.7,0,0,True,True
,,,,0.0,,0.0,1,38.0,38,8.7,1,1.0,1,20.2,1,1.0,1,20.2,0,0,True,True
,,,,,0.0,0.0,1,23.0,23,15.8,1,3.0,3,12.7,1,1.0,1,8.4,0,2,False,False
1.0,,,,,,1.0,1,28.0,28,17.4,1,3.0,3,12.7,1,1.0,1,32.0,0,2,False,False
,,,,,0.0,0.0,1,31.0,31,16.2,1,3.0,3,12.7,1,3.0,3,12.7,0,0,True,True
,,0.0,,,,0.0,1,33.0,33,17.4,1,1.0,1,43.8,1,1.0,1,43.8,0,0,True,True
